item-app-1  | 
item-db-1   | 2026-01-13T07:15:55.732+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1410M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1   | 2026-01-13T07:15:57.162+0000 I STORAGE  [initandlisten] WiredTiger message [1768288557:162365][1:0x7eb3f712ea40], txn-recover: Set global recovery timestamp: 0
item-db-1   | 2026-01-13T07:15:57.234+0000 I CONTROL  [initandlisten] 
item-db-1   | 2026-01-13T07:15:57.234+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-app-1  | [0mGET /stylesheets/style.css [36m304 [0m2.051 ms - -[0m
item-app-1  | [0mGET /javascripts/dist/dist.min.js [36m304 [0m1.156 ms - -[0m
item-app-1  | [0mGET /api [36m304 [0m6.761 ms - -[0m
item-app-1  | [0mPOST /api [32m201 [0m4.468 ms - 51[0m
item-app-1  | [0mPOST /api [32m201 [0m2.315 ms - 51[0m
item-db-1   | 2026-01-13T07:15:57.234+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2026-01-13T07:15:57.234+0000 I CONTROL  [initandlisten] 
item-db-1   | 2026-01-13T07:15:57.237+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 964a9a9e-ce67-4441-a34c-3689429ff879
item-db-1   | 2026-01-13T07:15:57.270+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db-1   | 2026-01-13T07:15:57.271+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 7f46f22a-f9c6-4ca0-b531-4a1ed5919c49
item-db-1   | 2026-01-13T07:15:57.340+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2026-01-13T07:15:57.342+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1   | 2026-01-13T07:15:57.342+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 62e46a9b-7237-4542-a333-354202505bb7
item-db-1   | 2026-01-13T07:15:57.342+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1   | 2026-01-13T07:15:57.343+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2026-01-13T07:15:57.402+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1   | 2026-01-13T07:15:57.402+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1   | 2026-01-13T07:15:57.405+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1   | 2026-01-13T07:15:58.169+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:57534 #1 (1 connection now open)
item-db-1   | 2026-01-13T07:15:58.180+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:57534 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.6.87.2-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1   | 2026-01-13T07:16:14.644+0000 I STORAGE  [conn1] createCollection: accumulator.documents with generated UUID: 99519c21-2802-47b6-a854-64d4adbf3aa9
item-db-1   | 2026-01-13T08:13:31.062+0000 I NETWORK  [conn1] end connection 172.20.0.3:57534 (0 connections now open)
item-db-1   | 2026-01-13T08:13:31.450+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db-1   | 2026-01-13T08:13:31.459+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1   | 2026-01-13T08:13:31.460+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1   | 2026-01-13T08:13:31.461+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-db-1   | 2026-01-13T08:13:31.466+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db-1   | 2026-01-13T08:13:31.604+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db-1   | 2026-01-13T08:13:31.604+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1   | 2026-01-13T08:13:31.605+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
